ID	sample_SRR1039508	sample_SRR1039512
ENSG00000078369	694	0
ENSG00000231050	0	0
ENSG00000169885	1	0
ENSG00000178821	0	0
ENSG00000142609	2	0
ENSG00000233542	0	0
ENSG00000187730	1	0
ENSG00000226969	0	0
ENSG00000067606	0	0
ENSG00000271806	0	0
ENSG00000182873	0	0
ENSG00000162585	63	0
ENSG00000234396	0	0
ENSG00000157933	202	0
ENSG00000116151	4	0
ENSG00000272161	0	0
ENSG00000269896	5	0
ENSG00000272420	0	0
ENSG00000157916	159	0
ENSG00000157911	20	0
ENSG00000149527	0	0
ENSG00000224387	0	0
ENSG00000229393	0	0
ENSG00000157881	26	0
ENSG00000197921	0	0
ENSG00000272449	0	0
ENSG00000238164	0	0
ENSG00000157873	58	0
ENSG00000225931	0	0
ENSG00000228037	1	0
ENSG00000157870	31	0
ENSG00000142606	0	0
ENSG00000237058	0	0
ENSG00000215912	3	0
ENSG00000283259	0	0
ENSG00000233234	0	0
ENSG00000231630	0	0
ENSG00000284745	0	0
ENSG00000169717	0	0
ENSG00000177133	1	0
ENSG00000142611	7	0
ENSG00000283572	0	0
ENSG00000226286	0	0
ENSG00000279839	0	0
ENSG00000272235	1	0
ENSG00000130762	0	0
ENSG00000272088	0	0
ENSG00000162591	36	0
ENSG00000207776	0	0
ENSG00000238260	0	0
ENSG00000158109	170	0
ENSG00000116213	29	0
ENSG00000078900	0	0
ENSG00000227589	0	0
ENSG00000235131	0	0
ENSG00000227372	93	0
ENSG00000276189	0	0
ENSG00000162592	1	0
ENSG00000235169	5	0
ENSG00000130764	63	0
ENSG00000266075	1	0
ENSG00000272153	1	0
ENSG00000116198	57	0
ENSG00000169598	8	0
ENSG00000198912	33	0
ENSG00000236423	2	0
ENSG00000233304	0	0
ENSG00000226374	0	0
ENSG00000284668	0	0
ENSG00000284703	1	0
ENSG00000229280	0	0
ENSG00000235054	0	0
ENSG00000284694	0	0
ENSG00000227169	0	0
ENSG00000232596	0	0
ENSG00000196581	0	0
ENSG00000284739	0	0
ENSG00000284674	0	0
ENSG00000231510	0	0
ENSG00000284616	0	0
ENSG00000284692	0	0
ENSG00000284666	0	0
ENSG00000260972	0	0
ENSG00000283356	0	0
ENSG00000236948	0	0
ENSG00000264341	0	0
ENSG00000264101	0	0
ENSG00000131697	34	0
ENSG00000069424	17	0
ENSG00000116254	3	0
ENSG00000116251	945	0
ENSG00000226944	1	0
ENSG00000158286	7	0
ENSG00000116237	248	0
ENSG00000225077	0	0
ENSG00000173673	0	0
ENSG00000158292	86	0
ENSG00000097021	17	0
ENSG00000271746	0	0
ENSG00000069812	2	0
ENSG00000187017	0	0
ENSG00000265392	0	0
ENSG00000231868	0	0
ENSG00000215788	0	0
ENSG00000171680	0	0
ENSG00000162408	1	0
ENSG00000253022	0	0
ENSG00000229519	0	0
ENSG00000173662	0	0
ENSG00000204859	0	0
ENSG00000162413	3	0
ENSG00000116273	0	0
ENSG00000041988	0	0
ENSG00000007923	0	0
ENSG00000228750	0	0
ENSG00000284744	0	0
ENSG00000237436	0	0
ENSG00000171735	0	0
ENSG00000227950	0	0
ENSG00000237365	0	0
ENSG00000207056	0	0
ENSG00000237402	0	0
ENSG00000237728	0	0
ENSG00000225126	0	0
ENSG00000270171	0	0
ENSG00000270035	0	0
ENSG00000269978	0	0
ENSG00000049245	0	0
ENSG00000269925	0	0
ENSG00000049246	0	0
ENSG00000236266	0	0
ENSG00000049247	0	0
ENSG00000049249	0	0
ENSG00000270330	0	0
ENSG00000116288	2	0
ENSG00000200344	0	0
ENSG00000284747	1	0
ENSG00000284716	0	0
ENSG00000116285	0	0
ENSG00000238290	0	0
ENSG00000232848	0	0
ENSG00000229305	0	0
ENSG00000227634	0	0
ENSG00000200975	0	0
ENSG00000233645	0	0
ENSG00000251977	0	0
ENSG00000162426	0	0
ENSG00000252254	0	0
ENSG00000142599	0	0
ENSG00000232912	0	0
ENSG00000221083	0	0
ENSG00000270282	0	0
ENSG00000234619	0	0
ENSG00000224315	0	0
ENSG00000222511	0	0
ENSG00000226545	0	0
ENSG00000228423	0	0
ENSG00000229716	0	0
ENSG00000074800	0	0
ENSG00000274258	0	0
ENSG00000230679	0	0
ENSG00000201725	0	0
ENSG00000238249	0	0
ENSG00000232208	0	0
ENSG00000232663	0	0
ENSG00000131686	2	0
ENSG00000265141	0	0
ENSG00000197241	0	0
ENSG00000142583	0	0
ENSG00000252404	0	0
ENSG00000180758	3	1
ENSG00000228526	0	0
ENSG00000284357	0	0
ENSG00000234546	0	0
ENSG00000049239	1	0
ENSG00000171621	0	0
ENSG00000284652	0	0
ENSG00000284693	1	0
ENSG00000252956	0	0
ENSG00000235263	0	0
ENSG00000171612	1	0
ENSG00000231181	0	0
ENSG00000188807	0	0
ENSG00000171608	0	0
ENSG00000179840	0	0
ENSG00000233268	0	0
ENSG00000231789	0	0
ENSG00000171603	0	0
ENSG00000271264	0	0
ENSG00000280113	0	0
ENSG00000178585	0	0
ENSG00000223989	0	0
ENSG00000162441	0	0
ENSG00000228150	0	0
ENSG00000173614	0	0
ENSG00000202415	0	0
ENSG00000283611	0	0
ENSG00000265521	0	0
ENSG00000241326	0	0
ENSG00000162444	0	0
