dataset,description,version
clumpus_gene_ensembl,Lumpfish genes (fCycLum1.pri),fCycLum1.pri
cmilii_gene_ensembl,Elephant shark genes (Callorhinchus_milii-6.1.3),Callorhinchus_milii-6.1.3
cpbellii_gene_ensembl,Painted turtle genes (Chrysemys_picta_bellii-3.0.3),Chrysemys_picta_bellii-3.0.3
cporcellus_gene_ensembl,Guinea Pig genes (Cavpor3.0),Cavpor3.0
cporosus_gene_ensembl,Australian saltwater crocodile genes (CroPor_comp1),CroPor_comp1
csabaeus_gene_ensembl,Vervet-AGM genes (ChlSab1.1),ChlSab1.1
csavignyi_gene_ensembl,C.savignyi genes (CSAV 2.0),CSAV 2.0
csemilaevis_gene_ensembl,Tongue sole genes (Cse_v1.0),Cse_v1.0
csyrichta_gene_ensembl,Tarsier genes (Tarsius_syrichta-2.0.1),Tarsius_syrichta-2.0.1
cvariegatus_gene_ensembl,Sheepshead minnow genes (C_variegatus-1.0),C_variegatus-1.0
cwagneri_gene_ensembl,Chacoan peccary genes (CatWag_v2_BIUU_UCD),CatWag_v2_BIUU_UCD
dclupeoides_gene_ensembl,Denticle herring genes (fDenClu1.1),fDenClu1.1
dlabrax_gene_ensembl,European seabass genes (seabass_V1.0),seabass_V1.0
dleucas_gene_ensembl,Beluga whale genes (ASM228892v3),ASM228892v3
dmelanogaster_gene_ensembl,Drosophila melanogaster genes (BDGP6.32),BDGP6.32
dnovemcinctus_gene_ensembl,Armadillo genes (Dasnov3.0),Dasnov3.0
dordii_gene_ensembl,Kangaroo rat genes (Dord_2.0),Dord_2.0
drerio_gene_ensembl,Zebrafish genes (GRCz11),GRCz11
eaasinus_gene_ensembl,Donkey genes (ASM303372v1),ASM303372v1
eburgeri_gene_ensembl,Hagfish genes (Eburgeri_3.2),Eburgeri_3.2
ecaballus_gene_ensembl,Horse genes (EquCab3.0),EquCab3.0
ecalabaricus_gene_ensembl,Reedfish genes (fErpCal1.1),fErpCal1.1
eelectricus_gene_ensembl,Electric eel genes (Ee_SOAP_WITH_SSPACE),Ee_SOAP_WITH_SSPACE
eeuropaeus_gene_ensembl,Hedgehog genes (eriEur1),eriEur1
elucius_gene_ensembl,Northern pike genes (Eluc_v4),Eluc_v4
etelfairi_gene_ensembl,Lesser hedgehog tenrec genes (TENREC),TENREC
falbicollis_gene_ensembl,Collared flycatcher genes (FicAlb1.5),FicAlb1.5
fcatus_gene_ensembl,Cat genes (Felis_catus_9.0),Felis_catus_9.0
fheteroclitus_gene_ensembl,Mummichog genes (Fundulus_heteroclitus-3.0.2),Fundulus_heteroclitus-3.0.2
gaculeatus_gene_ensembl,Stickleback genes (BROAD S1),BROAD S1
gevgoodei_gene_ensembl,Goodes thornscrub tortoise genes (rGopEvg1_v1.p),rGopEvg1_v1.p
gfortis_gene_ensembl,Medium ground-finch genes (GeoFor_1.0),GeoFor_1.0
ggallus_gene_ensembl,Chicken genes (GRCg6a),GRCg6a
ggorilla_gene_ensembl,Gorilla genes (gorGor4),gorGor4
gmorhua_gene_ensembl,Atlantic cod genes (gadMor3.0),gadMor3.0
hburtoni_gene_ensembl,Burton's mouthbrooder genes (AstBur1.0),AstBur1.0
hcomes_gene_ensembl,Tiger tail seahorse genes (H_comes_QL1_v1),H_comes_QL1_v1
hgfemale_gene_ensembl,Naked mole-rat female genes (HetGla_female_1.0),HetGla_female_1.0
hhucho_gene_ensembl,Huchen genes (ASM331708v1),ASM331708v1
hsapiens_gene_ensembl,Human genes (GRCh38.p13),GRCh38.p13
ipunctatus_gene_ensembl,Channel catfish genes (IpCoco_1.2),IpCoco_1.2
itridecemlineatus_gene_ensembl,Squirrel genes (SpeTri2.0),SpeTri2.0
jjaculus_gene_ensembl,Lesser Egyptian jerboa genes (JacJac1.0),JacJac1.0
kmarmoratus_gene_ensembl,Mangrove rivulus genes (ASM164957v1),ASM164957v1
lafricana_gene_ensembl,Elephant genes (Loxafr3.0),Loxafr3.0
lbergylta_gene_ensembl,Ballan wrasse genes (BallGen_V1),BallGen_V1
lcalcarifer_gene_ensembl,Barramundi perch genes (ASB_HGAPassembly_v1),ASB_HGAPassembly_v1
lchalumnae_gene_ensembl,Coelacanth genes (LatCha1),LatCha1
lcrocea_gene_ensembl,Large yellow croaker genes (L_crocea_2.0),L_crocea_2.0
llaticaudata_gene_ensembl,Blue-ringed sea krait genes (latLat_1.0),latLat_1.0
lleishanense_gene_ensembl,Leishan spiny toad genes (ASM966780v1),ASM966780v1
loculatus_gene_ensembl,Spotted gar genes (LepOcu1),LepOcu1
marmatus_gene_ensembl,Zig-zag eel genes (fMasArm1.2),fMasArm1.2
mauratus_gene_ensembl,Golden Hamster genes (MesAur1.0),MesAur1.0
mcaroli_gene_ensembl,Ryukyu mouse genes (CAROLI_EIJ_v1.1),CAROLI_EIJ_v1.1
mdomestica_gene_ensembl,Opossum genes (ASM229v1),ASM229v1
mfascicularis_gene_ensembl,Crab-eating macaque genes (Macaca_fascicularis_6.0),Macaca_fascicularis_6.0
mgallopavo_gene_ensembl,Turkey genes (Turkey_5.1),Turkey_5.1
mleucophaeus_gene_ensembl,Drill genes (Mleu.le_1.0),Mleu.le_1.0
mlucifugus_gene_ensembl,Microbat genes (Myoluc2.0),Myoluc2.0
mmmarmota_gene_ensembl,Alpine marmot genes (marMar2.1),marMar2.1
mmonoceros_gene_ensembl,Narwhal genes (NGI_Narwhal_1),NGI_Narwhal_1
mmoschiferus_gene_ensembl,Siberian musk deer genes (MosMos_v2_BIUU_UCD),MosMos_v2_BIUU_UCD
mmulatta_gene_ensembl,Macaque genes (Mmul_10),Mmul_10
mmurdjan_gene_ensembl,Pinecone soldierfish genes (fMyrMur1.1),fMyrMur1.1
mmurinus_gene_ensembl,Mouse Lemur genes (Mmur_3.0),Mmur_3.0
mmusculus_gene_ensembl,Mouse genes (GRCm39),GRCm39
mnemestrina_gene_ensembl,Pig-tailed macaque genes (Mnem_1.0),Mnem_1.0
mochrogaster_gene_ensembl,Prairie vole genes (MicOch1.0),MicOch1.0
mpahari_gene_ensembl,Shrew mouse genes (PAHARI_EIJ_v1.1),PAHARI_EIJ_v1.1
mpfuro_gene_ensembl,Ferret genes (MusPutFur1.0),MusPutFur1.0
mspicilegus_gene_ensembl,Steppe mouse genes (MUSP714),MUSP714
mspretus_gene_ensembl,Algerian mouse genes (SPRET_EiJ_v1),SPRET_EiJ_v1
mzebra_gene_ensembl,Zebra mbuna genes (M_zebra_UMD2a),M_zebra_UMD2a
nbrichardi_gene_ensembl,Lyretail cichlid genes (NeoBri1.0),NeoBri1.0
neugenii_gene_ensembl,Wallaby genes (Meug_1.0),Meug_1.0
nfurzeri_gene_ensembl,Turquoise killifish genes (Nfu_20140520),Nfu_20140520
ngalili_gene_ensembl,Upper Galilee mountains blind mole rat genes (S.galili_v1.0),S.galili_v1.0
nleucogenys_gene_ensembl,Gibbon genes (Nleu_3.0),Nleu_3.0
nnaja_gene_ensembl,Indian cobra genes (Nana_v5),Nana_v5
nscutatus_gene_ensembl,Mainland tiger snake genes (TS10Xv2-PRI),TS10Xv2-PRI
nvison_gene_ensembl,American mink genes (NNQGG.v01),NNQGG.v01
oanatinus_gene_ensembl,Platypus genes (mOrnAna1.p.v1),mOrnAna1.p.v1
oarambouillet_gene_ensembl,Sheep genes (Oar_rambouillet_v1.0),Oar_rambouillet_v1.0
oaries_gene_ensembl,Sheep (texel) genes (Oar_v3.1),Oar_v3.1
ocuniculus_gene_ensembl,Rabbit genes (OryCun2.0),OryCun2.0
odegus_gene_ensembl,Degu genes (OctDeg1.0),OctDeg1.0
ogarnettii_gene_ensembl,Bushbaby genes (OtoGar3),OtoGar3
ojavanicus_gene_ensembl,Javanese ricefish genes (OJAV_1.1),OJAV_1.1
okisutch_gene_ensembl,Coho salmon genes (Okis_V2),Okis_V2
olatipes_gene_ensembl,Japanese medaka HdrR genes (ASM223467v1),ASM223467v1
omelastigma_gene_ensembl,Indian medaka genes (Om_v0.7.RACA),Om_v0.7.RACA
omykiss_gene_ensembl,Rainbow trout genes (Omyk_1.0),Omyk_1.0
oniloticus_gene_ensembl,Nile tilapia genes (O_niloticus_UMD_NMBU),O_niloticus_UMD_NMBU
oprinceps_gene_ensembl,Pika genes (OchPri2.0-Ens),OchPri2.0-Ens
osinensis_gene_ensembl,Chinese medaka genes (ASM858656v1),ASM858656v1
otshawytscha_gene_ensembl,Chinook salmon genes (Otsh_v1.0),Otsh_v1.0
pabelii_gene_ensembl,Orangutan genes (PPYG2),PPYG2
panubis_gene_ensembl,Olive baboon genes (Panu_3.0),Panu_3.0
pcapensis_gene_ensembl,Hyrax genes (proCap1),proCap1
pcatodon_gene_ensembl,Sperm whale genes (ASM283717v2),ASM283717v2
pcinereus_gene_ensembl,Koala genes (phaCin_unsw_v4.1),phaCin_unsw_v4.1
pcoquereli_gene_ensembl,Coquerel's sifaka genes (Pcoq_1.0),Pcoq_1.0
pformosa_gene_ensembl,Amazon molly genes (Poecilia_formosa-5.1.2),Poecilia_formosa-5.1.2
pkingsleyae_gene_ensembl,Paramormyrops kingsleyae genes (PKINGS_0.1),PKINGS_0.1
platipinna_gene_ensembl,Sailfin molly genes (P_latipinna-1.0),P_latipinna-1.0
pleo_gene_ensembl,Lion genes (PanLeo1.0),PanLeo1.0
pmajor_gene_ensembl,Great Tit genes (Parus_major1.1),Parus_major1.1
pmarinus_gene_ensembl,Lamprey genes (Pmarinus_7.0),Pmarinus_7.0
pmbairdii_gene_ensembl,Northern American deer mouse genes (HU_Pman_2.1),HU_Pman_2.1
pmuralis_gene_ensembl,Common wall lizard genes (PodMur_1.0),PodMur_1.0
pnattereri_gene_ensembl,Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2),Pygocentrus_nattereri-1.0.2
pnyererei_gene_ensembl,Makobe Island cichlid genes (PunNye1.0),PunNye1.0
ppaniscus_gene_ensembl,Bonobo genes (panpan1.1),panpan1.1
ppardus_gene_ensembl,Leopard genes (PanPar1.0),PanPar1.0
preticulata_gene_ensembl,Guppy genes (Guppy_female_1.0_MT),Guppy_female_1.0_MT
psimus_gene_ensembl,Greater bamboo lemur genes (Prosim_1.0),Prosim_1.0
psinensis_gene_ensembl,Chinese softshell turtle genes (PelSin_1.0),PelSin_1.0
psinus_gene_ensembl,Vaquita genes (mPhoSin1.pri),mPhoSin1.pri
ptaltaica_gene_ensembl,Tiger genes (PanTig1.0),PanTig1.0
ptextilis_gene_ensembl,Eastern brown snake genes (EBS10Xv2-PRI),EBS10Xv2-PRI
ptroglodytes_gene_ensembl,Chimpanzee genes (Pan_tro_3.0),Pan_tro_3.0
pvampyrus_gene_ensembl,Megabat genes (pteVam1),pteVam1
rbieti_gene_ensembl,Black snub-nosed monkey genes (ASM169854v1),ASM169854v1
rferrumequinum_gene_ensembl,Greater horseshoe bat genes (mRhiFer1_v1.p),mRhiFer1_v1.p
rnorvegicus_gene_ensembl,Rat genes (Rnor_6.0),Rnor_6.0
rroxellana_gene_ensembl,Golden snub-nosed monkey genes (Rrox_v1),Rrox_v1
saraneus_gene_ensembl,Shrew genes (sorAra1),sorAra1
saurata_gene_ensembl,Gilthead seabream genes (fSpaAur1.1),fSpaAur1.1
sbboliviensis_gene_ensembl,Bolivian squirrel monkey genes (SaiBol1.0),SaiBol1.0
scanaria_gene_ensembl,Common canary genes (SCA1),SCA1
scaustralis_gene_ensembl,African ostrich genes (ASM69896v1),ASM69896v1
scerevisiae_gene_ensembl,Saccharomyces cerevisiae genes (R64-1-1),R64-1-1
sdumerili_gene_ensembl,Greater amberjack genes (Sdu_1.0),Sdu_1.0
sformosus_gene_ensembl,Asian bonytongue genes (fSclFor1.1),fSclFor1.1
sgrahami_gene_ensembl,Golden-line barbel genes (SAMN03320097.WGS_v1.1),SAMN03320097.WGS_v1.1
shabroptila_gene_ensembl,Kakapo genes (bStrHab1_v1.p),bStrHab1_v1.p
sharrisii_gene_ensembl,Tasmanian devil genes (mSarHar1.11),mSarHar1.11
sldorsalis_gene_ensembl,Yellowtail amberjack genes (Sedor1),Sedor1
slucioperca_gene_ensembl,Pike-perch genes (SLUC_FBN_1),SLUC_FBN_1
smaximus_gene_ensembl,Turbot genes (ASM1334776v1),ASM1334776v1
smerianae_gene_ensembl,Argentine black and white tegu genes (HLtupMer3),HLtupMer3
spartitus_gene_ensembl,Bicolor damselfish genes (Stegastes_partitus-1.0.2),Stegastes_partitus-1.0.2
spunctatus_gene_ensembl,Tuatara genes (ASM311381v1),ASM311381v1
ssalar_gene_ensembl,Atlantic salmon genes (ICSASG_v2),ICSASG_v2
sscrofa_gene_ensembl,Pig genes (Sscrofa11.1),Sscrofa11.1
strutta_gene_ensembl,Brown trout genes (fSalTru1.1),fSalTru1.1
svulgaris_gene_ensembl,Eurasian red squirrel genes (mSciVul1.1),mSciVul1.1
tbelangeri_gene_ensembl,Tree Shrew genes (tupBel1),tupBel1
tctriunguis_gene_ensembl,Three-toed box turtle genes (T_m_triunguis-2.0),T_m_triunguis-2.0
tguttata_gene_ensembl,Zebra finch genes (bTaeGut1_v1.p),bTaeGut1_v1.p
tnigroviridis_gene_ensembl,Tetraodon genes (TETRAODON 8.0),TETRAODON 8.0
trubripes_gene_ensembl,Fugu genes (fTakRub1.2),fTakRub1.2
ttruncatus_gene_ensembl,Dolphin genes (turTru1),turTru1
uamericanus_gene_ensembl,American black bear genes (ASM334442v1),ASM334442v1
umaritimus_gene_ensembl,Polar bear genes (UrsMar_1.0),UrsMar_1.0
uparryii_gene_ensembl,Arctic ground squirrel genes (ASM342692v1),ASM342692v1
vpacos_gene_ensembl,Alpaca genes (vicPac1),vicPac1
vursinus_gene_ensembl,Common wombat genes (bare-nosed_wombat_genome_assembly),bare-nosed_wombat_genome_assembly
vvulpes_gene_ensembl,Red fox genes (VulVul2.2),VulVul2.2
xmaculatus_gene_ensembl,Platyfish genes (X_maculatus-5.0-male),X_maculatus-5.0-male
xtropicalis_gene_ensembl,Tropical clawed frog genes (Xenopus_tropicalis_v9.1),Xenopus_tropicalis_v9.1
